stage_m,discharge_m3s
0.35,0.23055230780138677
0.45,0.5751051658689886
0.6,1.698999799892568
0.75,3.2613990794669214
0.9,4.191892866448205
1.05,6.5102175497959385
1.2,10.102797091383557
1.35,12.89461226637832
1.5,16.87730009385958
1.65,19.63804373202925
1.8,27.465871277224643
1.95,32.59112537982297
2.1,36.29120121593153
2.25,45.99091954706313
2.4,50.24447351564219
2.55,51.556193682489756
2.7,64.37121875478078
2.85,65.03943413393708
3.0,84.10785400165491
3.15,86.6781090227872
3.3,94.68923575036166
3.45,100.02505675237303
3.6,127.47742158794081
3.75,124.47662426930606
3.9,132.28841571067304
